"","Preffered_Vcmax.9.comps"
"Wave_1235",-18.6653164434566
"Wave_1236",-18.3451649778944
"Wave_1237",-18.647032191605
"Wave_1238",-19.7889604624188
"Wave_1239",-21.042304299534
"Wave_1240",-22.5269490016882
"Wave_1241",-23.6104742729602
"Wave_1242",-23.8899050014461
"Wave_1243",-24.3450422169852
"Wave_1244",-25.0335668660845
"Wave_1245",-26.0079929048819
"Wave_1246",-26.5373236570286
"Wave_1247",-27.386108580297
"Wave_1248",-27.1644995948122
"Wave_1249",-27.633504316901
"Wave_1250",-28.6268708383989
"Wave_1251",-28.9522419946832
"Wave_1252",-30.2457667108034
"Wave_1253",-31.3776368085642
"Wave_1254",-30.9546343721975
"Wave_1255",-31.1452110291381
"Wave_1256",-32.6751184817002
"Wave_1257",-33.3875973944913
"Wave_1258",-32.8153284010383
"Wave_1259",-33.2673906704614
"Wave_1260",-34.4601055226724
"Wave_1261",-34.753690523447
"Wave_1262",-35.4833302958101
"Wave_1263",-36.8600740676469
"Wave_1264",-36.9412202424101
"Wave_1265",-36.8243150040477
"Wave_1266",-37.3367900407864
"Wave_1267",-38.3980673979432
"Wave_1268",-39.0749072196689
"Wave_1269",-39.3365204178473
"Wave_1270",-39.5599051550203
"Wave_1271",-40.0679746843134
"Wave_1272",-40.9547638032747
"Wave_1273",-41.1221703258311
"Wave_1274",-41.247029567299
"Wave_1275",-41.9105308246332
"Wave_1276",-41.4373097697065
"Wave_1277",-41.3161460287868
"Wave_1278",-42.3085485473349
"Wave_1279",-42.086486397872
"Wave_1280",-41.6576123876415
"Wave_1281",-41.9071592109946
"Wave_1282",-41.4650740444109
"Wave_1283",-40.4448353220263
"Wave_1284",-40.1877740160735
"Wave_1285",-40.6525217381808
"Wave_1286",-40.4866955481167
"Wave_1287",-39.7891402293061
"Wave_1288",-39.435186322402
"Wave_1289",-39.0124504698168
"Wave_1290",-38.1464044405597
"Wave_1291",-37.2210507137006
"Wave_1292",-36.8925873734914
"Wave_1293",-36.9998515726385
"Wave_1294",-37.2907914714389
"Wave_1295",-36.8199946211195
"Wave_1296",-35.9174859004196
"Wave_1297",-34.7774532806345
"Wave_1298",-32.6488443822944
"Wave_1299",-31.3772005382526
"Wave_1300",-31.9466142243639
"Wave_1301",-32.1169108429637
"Wave_1302",-30.8646341287091
"Wave_1303",-29.8779534751998
"Wave_1304",-29.4817112439415
"Wave_1305",-28.7945181836012
"Wave_1306",-28.201021837823
"Wave_1307",-27.8279179379062
"Wave_1308",-26.7507592204802
"Wave_1309",-25.5271568893753
"Wave_1310",-25.2351212894765
"Wave_1311",-25.0460622498564
"Wave_1312",-25.6178245950491
"Wave_1313",-25.1610883542073
"Wave_1314",-25.005231326372
"Wave_1315",-24.2025387343792
"Wave_1316",-22.4603152875283
"Wave_1317",-20.8765930398679
"Wave_1318",-21.2020007134639
"Wave_1319",-21.377280303219
"Wave_1320",-20.6622071110817
"Wave_1321",-20.8523905161153
"Wave_1322",-20.8473751688474
"Wave_1323",-20.1831516757697
"Wave_1324",-20.1141627843267
"Wave_1325",-19.5204085497165
"Wave_1326",-19.0840424337206
"Wave_1327",-19.4155473592604
"Wave_1328",-19.2096257432348
"Wave_1329",-19.7701409535003
"Wave_1330",-20.1479622404525
"Wave_1331",-19.1998295720383
"Wave_1332",-18.8497140353863
"Wave_1333",-18.9416620437826
"Wave_1334",-18.687373508999
"Wave_1335",-17.6548666802637
"Wave_1336",-17.3293769090297
"Wave_1337",-18.0152980972799
"Wave_1338",-17.973880091344
"Wave_1339",-17.4228529102106
"Wave_1340",-17.6873642242608
"Wave_1341",-18.3846278335466
"Wave_1342",-17.4984093946317
"Wave_1343",-16.0823239574512
"Wave_1344",-15.8683937210431
"Wave_1345",-15.6555131544305
"Wave_1346",-14.464976583662
"Wave_1347",-14.4639245293315
"Wave_1348",-16.0234111605972
"Wave_1349",-16.4882493013754
"Wave_1350",-15.6903848130419
"Wave_1351",-15.6887488136505
"Wave_1352",-16.2240772533457
"Wave_1353",-15.5841316849628
"Wave_1354",-15.068984948634
"Wave_1355",-16.0971466137783
"Wave_1356",-16.5834484338998
"Wave_1357",-16.4121723493945
"Wave_1358",-17.2087503006419
"Wave_1359",-17.9610768922414
"Wave_1360",-17.3422233745986
"Wave_1361",-17.1884616533019
"Wave_1362",-17.9171521621074
"Wave_1363",-18.066528113314
"Wave_1364",-17.6365245089113
"Wave_1365",-17.6425735120462
"Wave_1366",-17.5506043892805
"Wave_1367",-17.1002976940428
"Wave_1368",-16.7316689975313
"Wave_1369",-17.1036387233644
"Wave_1370",-17.0081096077508
"Wave_1371",-16.7707614892645
